"OBJECTID","AREA","PERIMETER","POLY_ID","ECO_ID","Shape_Length","Shape_Area"
1,1.376666,6.159229,14003,14,6.159229,1.376666
2,1.580339,9.611541,14002,14,9.611541,1.580339
3,0.932502,5.332157,14004,14,5.332157,0.932502
4,2.408006,13.902720,14005,14,13.902720,2.408006
5,3.511283,27.056162,14001,14,27.056162,3.511283
6,0.840566,7.174565,14006,14,7.174565,0.840566
7,1.729422,9.822043,14007,14,9.822043,1.729422
8,3.484609,16.369462,17001,17,16.369462,3.484609
9,1.231991,14.403337,14009,14,14.403337,1.231991
10,1.664047,8.959433,14011,14,8.959433,1.664047
11,0.684304,7.523122,14008,14,7.523122,0.684304
12,0.955917,14.805606,17002,17,14.805606,0.955917
13,0.032024,1.033832,14012,14,1.033832,0.032024
14,1.379902,18.141770,1005,1,18.141770,1.379902
15,1.338231,8.813159,14013,14,8.813159,1.338231
16,5.048053,78.573508,1001,1,78.573508,5.048053
17,0.262471,6.334933,14010,14,6.334933,0.262471
18,0.290395,5.305911,1003,1,5.305911,0.290395
19,0.786420,16.008933,1008,1,16.008933,0.786420
20,0.165830,4.186670,14014,14,4.186670,0.165830
21,0.268070,6.261953,1007,1,6.261953,0.268070
22,0.681179,8.269635,1002,1,8.269635,0.681179
23,1.617522,10.128078,14015,14,10.128078,1.617522
24,0.130537,3.173376,1010,1,3.173376,0.130537
25,0.079058,5.061723,17003,17,5.061723,0.079058
26,1.069086,12.986020,1011,1,12.986020,1.069086
27,1.038458,16.152600,18001,18,16.152600,1.038458
28,0.742582,10.399629,1004,1,10.399629,0.742582
29,0.165394,3.119297,14016,14,3.119297,0.165394
30,0.075226,2.001561,1006,1,2.001561,0.075226
31,1.752070,26.169314,19001,19,26.169314,1.752070
32,0.978176,8.757012,15001,15,8.757012,0.978176
33,1.470890,26.287004,15002,15,26.287004,1.470890
34,0.058236,1.343875,14017,14,1.343875,0.058236
35,0.103245,3.086495,18003,18,3.086495,0.103245
36,0.032205,1.436659,18002,18,1.436659,0.032205
37,0.432947,15.013820,19002,19,15.013820,0.432947
38,0.071977,1.950267,1009,1,1.950267,0.071977
39,0.570491,9.874960,18004,18,9.874960,0.570491
40,0.054208,2.860390,1014,1,2.860390,0.054208
41,0.727634,16.869359,18005,18,16.869359,0.727634
42,0.156155,4.015470,19004,19,4.015470,0.156155
43,0.087088,3.067103,1012,1,3.067103,0.087088
44,0.238009,5.282988,15003,15,5.282988,0.238009
45,0.316686,9.007460,1015,1,9.007460,0.316686
46,0.554736,10.547416,19003,19,10.547416,0.554736
47,1.161502,9.944523,14018,14,9.944523,1.161502
48,0.170442,3.970954,15005,15,3.970954,0.170442
49,0.281189,3.891856,15006,15,3.891856,0.281189
50,0.322014,7.316988,19006,19,7.316988,0.322014
51,0.052694,1.961546,15004,15,1.961546,0.052694
52,0.286409,4.571170,15008,15,4.571170,0.286409
53,0.588114,11.463353,1018,1,11.463353,0.588114
54,0.052516,2.013195,15007,15,2.013195,0.052516
55,0.166261,4.223734,1017,1,4.223734,0.166261
