"OBJECTID","AREA","PERIMETER","POLY_ID","ECO_ID","Shape_Length","Shape_Area"
56,0.131182,6.420182,18007,18,6.420182,0.131182
57,0.480898,10.015060,19005,19,10.015060,0.480898
58,0.044763,1.407222,18006,18,1.407222,0.044763
59,0.059047,2.570498,1013,1,2.570498,0.059047
60,0.883924,7.109407,15010,15,7.109407,0.883924
61,0.323815,5.712302,15009,15,5.712302,0.323815
62,1.430330,27.425013,15011,15,27.425013,1.430330
63,0.046464,2.079626,1016,1,2.079626,0.046464
64,0.082994,2.768412,18009,18,2.768412,0.082994
65,0.018415,0.991072,18008,18,0.991072,0.018415
66,0.220293,7.282763,1022,1,7.282763,0.220293
67,0.242993,6.633777,19009,19,6.633777,0.242993
68,0.154211,3.561834,1019,1,3.561834,0.154211
69,0.282813,5.063839,18013,18,5.063839,0.282813
70,0.919162,25.532183,1026,1,25.532183,0.919162
71,0.040645,3.373975,19007,19,3.373975,0.040645
72,1.680731,16.798827,1021,1,16.798827,1.680731
73,0.073259,2.439748,18011,18,2.439748,0.073259
74,0.304572,8.227723,19008,19,8.227723,0.304572
75,0.041897,1.953142,18014,18,1.953142,0.041897
76,0.117972,3.200545,18015,18,3.200545,0.117972
77,0.064212,1.277361,18010,18,1.277361,0.064212
78,0.100590,2.094122,18012,18,2.094122,0.100590
79,0.014500,1.110543,15012,15,1.110543,0.014500
80,0.160655,5.053651,1020,1,5.053651,0.160655
81,0.008450,0.843066,15013,15,0.843066,0.008450
82,0.142980,3.307476,18018,18,3.307476,0.142980
83,0.193476,8.974217,19010,19,8.974217,0.193476
84,0.627948,12.355872,14019,14,12.355872,0.627948
85,2.213468,31.011359,19011,19,31.011359,2.213468
86,0.287838,7.344775,1025,1,7.344775,0.287838
87,0.036740,2.493431,15014,15,2.493431,0.036740
88,0.094198,4.566762,1024,1,4.566762,0.094198
89,0.044610,1.780688,1023,1,1.780688,0.044610
90,2.425530,22.488925,26001,26,22.488925,2.425530
91,0.066725,2.145054,18016,18,2.145054,0.066725
92,0.353241,7.401815,19012,19,7.401815,0.353241
93,1.474296,13.347845,14021,14,13.347845,1.474296
94,0.088671,3.498613,14020,14,3.498613,0.088671
95,0.765918,11.579648,18017,18,11.579648,0.765918
96,0.432243,15.976056,18019,18,15.976056,0.432243
97,0.037388,1.410701,14022,14,1.410701,0.037388
98,0.176522,7.283878,1031,1,7.283878,0.176522
99,0.172399,4.619088,1032,1,4.619088,0.172399
100,0.299289,5.405559,1027,1,5.405559,0.299289
101,0.855617,10.207080,20001,20,10.207080,0.855617
102,0.226026,3.466982,1030,1,3.466982,0.226026
103,0.182891,6.165035,1028,1,6.165035,0.182891
104,0.088449,2.490901,14023,14,2.490901,0.088449
105,0.044170,1.586923,14024,14,1.586923,0.044170
106,0.912535,18.113258,1033,1,18.113258,0.912535
107,0.072270,3.096449,15015,15,3.096449,0.072270
108,0.105142,3.651152,1029,1,3.651152,0.105142
109,0.228592,6.589734,20003,20,6.589734,0.228592
110,0.534688,7.256808,14025,14,7.256808,0.534688
111,0.534461,12.473352,18021,18,12.473352,0.534461
112,0.042543,1.891132,18020,18,1.891132,0.042543
113,0.127569,3.038420,26002,26,3.038420,0.127569
114,0.815554,15.653201,1034,1,15.653201,0.815554
115,0.218005,5.839574,26003,26,5.839574,0.218005
116,7.099514,65.471834,2001,2,65.471834,7.099514
117,0.129107,2.918360,1035,1,2.918360,0.129107
118,0.826328,9.641703,14026,14,9.641703,0.826328
119,0.259257,6.051362,1036,1,6.051362,0.259257
120,0.703364,12.299814,20002,20,12.299814,0.703364
121,1.448620,11.987535,20008,20,11.987535,1.448620
122,1.836356,19.000613,2002,2,19.000613,1.836356
123,0.801305,9.671116,20006,20,9.671116,0.801305
124,0.515888,8.755134,16001,16,8.755134,0.515888
125,0.137443,3.103699,20005,20,3.103699,0.137443
126,0.704627,16.172921,20010,20,16.172921,0.704627
127,0.043390,1.358451,1037,1,1.358451,0.043390
128,0.135869,3.325806,20004,20,3.325806,0.135869
129,0.148263,4.050206,16002,16,4.050206,0.148263
130,0.405831,4.606848,21001,21,4.606848,0.405831
131,0.985788,8.737443,26004,26,8.737443,0.985788
132,0.594021,10.307658,16003,16,10.307658,0.594021
133,1.395019,25.728356,22001,22,25.728356,1.395019
134,0.078226,3.074292,20009,20,3.074292,0.078226
135,0.072336,2.384512,2003,2,2.384512,0.072336
136,0.128774,3.175239,20011,20,3.175239,0.128774
137,0.151103,4.876922,20012,20,4.876922,0.151103
138,0.586927,8.546479,14027,14,8.546479,0.586927
139,0.055909,2.155757,20013,20,2.155757,0.055909
140,0.824310,10.746411,20007,20,10.746411,0.824310
141,0.230654,4.250198,20015,20,4.250198,0.230654
142,0.154198,3.013957,20019,20,3.013957,0.154198
143,0.017921,1.406944,20017,20,1.406944,0.017921
144,0.062349,2.445388,20016,20,2.445388,0.062349
145,0.195014,3.106918,16004,16,3.106918,0.195014
146,0.275256,5.653796,20014,20,5.653796,0.275256
147,1.291424,15.683060,21003,21,15.683060,1.291424
148,1.015511,5.720994,14028,14,5.720994,1.015511
149,0.112864,3.593481,16005,16,3.593481,0.112864
150,0.064677,2.261066,20020,20,2.261066,0.064677
151,0.393528,5.751508,20021,20,5.751508,0.393528
152,0.566312,11.390821,16006,16,11.390821,0.566312
153,0.602887,6.766039,21004,21,6.766039,0.602887
154,0.681444,6.096465,26005,26,6.096465,0.681444
155,0.361345,5.982224,20018,20,5.982224,0.361345
156,1.147042,18.791755,21002,21,18.791755,1.147042
157,2.019555,17.852421,3001,3,17.852421,2.019555
158,0.821420,10.899508,26006,26,10.899508,0.821420
159,2.729105,12.195048,27001,27,12.195048,2.729105
160,0.027008,1.407513,16007,16,1.407513,0.027008
161,2.043782,26.203289,21006,21,26.203289,2.043782
162,0.168461,5.794334,3002,3,5.794334,0.168461
163,0.646409,10.455181,21005,21,10.455181,0.646409
164,0.005238,0.585508,3003,3,0.585508,0.005238
165,0.081107,3.051247,16008,16,3.051247,0.081107
166,0.115609,2.271568,21007,21,2.271568,0.115609
167,0.051050,1.245728,16009,16,1.245728,0.051050
168,0.052679,2.261751,2006,2,2.261751,0.052679
169,0.333541,5.888457,22002,22,5.888457,0.333541
170,0.041965,1.201793,16010,16,1.201793,0.041965
171,0.130072,3.047848,26008,26,3.047848,0.130072
172,0.143329,2.475510,21010,21,2.475510,0.143329
173,0.013898,0.771652,21009,21,0.771652,0.013898
174,0.883716,13.610040,16011,16,13.610040,0.883716
175,0.792303,15.052602,21008,21,15.052602,0.792303
176,0.055853,2.910257,2004,2,2.910257,0.055853
177,0.100803,3.024292,2005,2,3.024292,0.100803
178,0.189677,2.629775,21012,21,2.629775,0.189677
179,0.021121,0.928153,16012,16,0.928153,0.021121
180,2.139366,13.408543,26007,26,13.408543,2.139366
181,0.086112,1.754598,21014,21,1.754598,0.086112
182,0.118939,4.012725,2007,2,4.012725,0.118939
183,0.245567,6.017445,21011,21,6.017445,0.245567
184,0.163031,3.836103,21013,21,3.836103,0.163031
185,0.044200,1.103652,27002,27,1.103652,0.044200
186,0.881680,8.432449,14029,14,8.432449,0.881680
187,0.127452,2.195925,21017,21,2.195925,0.127452
188,0.316363,11.797774,21015,21,11.797774,0.316363
189,1.156509,12.048439,3004,3,12.048439,1.156509
190,0.214066,4.790232,21016,21,4.790232,0.214066
191,0.036322,1.255806,27003,27,1.255806,0.036322
192,0.008335,0.792329,3005,3,0.792329,0.008335
193,1.015943,19.488607,22003,22,19.488607,1.015943
194,0.576873,11.786386,2008,2,11.786386,0.576873
195,0.022375,1.048620,2010,2,1.048620,0.022375
196,0.067016,2.379885,16013,16,2.379885,0.067016
197,0.133563,4.322252,2011,2,4.322252,0.133563
198,0.041520,2.308172,26009,26,2.308172,0.041520
199,0.058570,2.914617,14030,14,2.914617,0.058570
200,0.497621,13.259271,2009,2,13.259271,0.497621
201,1.752027,13.964209,26010,26,13.964209,1.752027
202,0.104037,1.744117,21019,21,1.744117,0.104037
203,0.523698,9.968151,14031,14,9.968151,0.523698
204,3.321413,14.068011,27004,27,14.068011,3.321413
205,0.134154,3.750053,21018,21,3.750053,0.134154
206,0.003218,0.415093,2013,2,0.415093,0.003218
207,0.053352,4.036189,2012,2,4.036189,0.053352
208,9.446376,53.448814,27030,27,53.448814,9.446376
209,0.206120,3.940201,14032,14,3.940201,0.206120
210,0.263412,3.971315,21024,21,3.971315,0.263412
211,0.130587,1.528606,21025,21,1.528606,0.130587
212,0.170011,2.836066,14033,14,2.836066,0.170011
213,0.768987,10.464279,2014,2,10.464279,0.768987
214,0.225826,7.124260,21020,21,7.124260,0.225826
215,0.497053,4.997181,21026,21,4.997181,0.497053
216,0.493068,9.001975,21023,21,9.001975,0.493068
217,0.134078,6.649233,21021,21,6.649233,0.134078
218,1.196081,8.978228,14034,14,8.978228,1.196081
219,0.068654,2.997045,21022,21,2.997045,0.068654
220,0.789386,12.546131,3006,3,12.546131,0.789386
221,0.296819,5.659746,21027,21,5.659746,0.296819
222,0.366204,6.707003,26011,26,6.707003,0.366204
223,0.026291,0.821359,14035,14,0.821359,0.026291
224,0.225741,4.583833,14036,14,4.583833,0.225741
225,0.197963,4.376325,22005,22,4.376325,0.197963
226,0.065886,2.708927,21028,21,2.708927,0.065886
227,0.672905,5.775842,22004,22,5.775842,0.672905
228,0.384107,6.706885,14037,14,6.706885,0.384107
229,0.018510,1.241755,14038,14,1.241755,0.018510
230,0.275339,5.996712,21029,21,5.996712,0.275339
231,0.257115,5.824558,26014,26,5.824558,0.257115
232,0.068720,1.880625,21030,21,1.880625,0.068720
233,0.025718,1.119512,3007,3,1.119512,0.025718
234,1.677159,15.036682,26012,26,15.036682,1.677159
235,0.338012,9.741860,21032,21,9.741860,0.338012
236,0.254831,3.461045,21034,21,3.461045,0.254831
237,0.391662,7.951707,14039,14,7.951707,0.391662
238,0.023523,1.659321,14040,14,1.659321,0.023523
239,0.067745,3.509088,21031,21,3.509088,0.067745
240,1.890412,18.891585,14041,14,18.891585,1.890412
241,0.043106,1.833127,14042,14,1.833127,0.043106
242,0.072346,5.141535,26015,26,5.141535,0.072346
243,0.148909,4.788340,21036,21,4.788340,0.148909
244,0.018624,0.963587,14043,14,0.963587,0.018624
245,0.027662,2.043127,26013,26,2.043127,0.027662
246,0.029533,1.092759,14044,14,1.092759,0.029533
247,0.400741,7.636869,26016,26,7.636869,0.400741
248,0.071972,3.318413,21033,21,3.318413,0.071972
249,1.433289,11.184419,27031,27,11.184419,1.433289
250,0.052222,1.981066,14045,14,1.981066,0.052222
251,0.003116,0.390095,21035,21,0.390095,0.003116
252,4.468982,19.802603,27006,27,19.802603,4.468982
253,6.354903,61.917720,4002,4,61.917720,6.354903
254,2.516796,14.726694,27005,27,14.726694,2.516796
255,0.042567,2.592654,21037,21,2.592654,0.042567
256,0.102233,2.815558,21039,21,2.815558,0.102233
257,0.153824,9.549874,4003,4,9.549874,0.153824
258,1.148353,14.270574,3008,3,14.270574,1.148353
259,0.125491,3.779405,21038,21,3.779405,0.125491
260,0.196521,4.010064,21041,21,4.010064,0.196521
261,0.606525,13.967956,21042,21,13.967956,0.606525
262,0.124758,3.481061,27032,27,3.481061,0.124758
263,0.789847,21.396592,4001,4,21.396592,0.789847
264,0.073979,1.450085,22006,22,1.450085,0.073979
265,0.212617,5.586825,27033,27,5.586825,0.212617
266,0.068258,2.905273,21040,21,2.905273,0.068258
267,0.168032,2.297121,3009,3,2.297121,0.168032
268,0.075737,3.316428,3010,3,3.316428,0.075737
269,0.092139,3.435397,23001,23,3.435397,0.092139
270,0.098535,2.652490,23002,23,2.652490,0.098535
271,0.137899,2.995018,23003,23,2.995018,0.137899
272,0.065519,2.864808,14046,14,2.864808,0.065519
273,0.382403,9.292003,23004,23,9.292003,0.382403
274,0.370133,10.607940,21043,21,10.607940,0.370133
275,0.579217,13.893153,27034,27,13.893153,0.579217
276,0.845664,6.315795,14047,14,6.315795,0.845664
277,0.276669,3.243893,4004,4,3.243893,0.276669
278,0.029549,0.941632,22007,22,0.941632,0.029549
279,1.830142,12.286080,27007,27,12.286080,1.830142
280,0.023426,0.967980,14048,14,0.967980,0.023426
281,0.269104,5.263046,27011,27,5.263046,0.269104
282,0.113195,1.934968,22008,22,1.934968,0.113195
283,0.018211,0.854968,27035,27,0.854968,0.018211
284,0.604422,5.351699,23006,23,5.351699,0.604422
285,0.160778,3.199826,4005,4,3.199826,0.160778
286,0.473702,5.674150,23005,23,5.674150,0.473702
287,0.172625,2.884904,22009,22,2.884904,0.172625
288,0.180914,3.969461,14049,14,3.969461,0.180914
289,0.998671,14.283044,21044,21,14.283044,0.998671
290,0.045642,1.340987,23007,23,1.340987,0.045642
291,0.126480,2.526905,14050,14,2.526905,0.126480
292,3.534680,23.620693,4006,4,23.620693,3.534680
293,0.018361,0.659994,22010,22,0.659994,0.018361
294,0.664964,8.164439,14051,14,8.164439,0.664964
295,0.036711,1.559826,27009,27,1.559826,0.036711
296,0.070788,2.064982,23008,23,2.064982,0.070788
297,0.111483,2.344901,21045,21,2.344901,0.111483
298,0.077318,3.565897,27036,27,3.565897,0.077318
299,0.106870,2.764170,27016,27,2.764170,0.106870
300,0.195336,1.932435,22011,22,1.932435,0.195336
301,0.107859,2.809795,14052,14,2.809795,0.107859
302,0.409618,3.288625,27020,27,3.288625,0.409618
303,0.040256,1.788814,14053,14,1.788814,0.040256
304,0.196519,4.937844,27037,27,4.937844,0.196519
305,0.272821,5.459462,14054,14,5.459462,0.272821
306,0.097612,1.859967,23009,23,1.859967,0.097612
307,0.959823,7.353347,14055,14,7.353347,0.959823
308,0.063901,2.339393,22012,22,2.339393,0.063901
309,0.028868,1.849421,23010,23,1.849421,0.028868
310,0.136641,1.803116,27038,27,1.803116,0.136641
311,0.059883,1.774531,22013,22,1.774531,0.059883
312,1.234505,8.628326,27012,27,8.628326,1.234505
313,0.588527,5.112300,27039,27,5.112300,0.588527
314,0.135236,2.782052,22015,22,2.782052,0.135236
315,0.097072,2.005605,22014,22,2.005605,0.097072
316,0.135410,2.205390,22016,22,2.205390,0.135410
317,0.045111,1.648528,21046,21,1.648528,0.045111
318,0.124970,3.667459,24001,24,3.667459,0.124970
319,0.173654,2.374272,27040,27,2.374272,0.173654
320,0.553533,5.416756,4007,4,5.416756,0.553533
321,0.051220,2.180913,4008,4,2.180913,0.051220
322,0.728230,5.875629,27008,27,5.875629,0.728230
323,0.030444,1.949997,23011,23,1.949997,0.030444
324,0.132865,2.012273,27041,27,2.012273,0.132865
325,0.082998,2.231124,23012,23,2.231124,0.082998
326,3.141648,18.294730,27022,27,18.294730,3.141648
327,0.062429,2.888048,23013,23,2.888048,0.062429
328,0.532285,5.826522,27010,27,5.826522,0.532285
329,0.041648,2.053447,27042,27,2.053447,0.041648
330,0.017739,0.792844,14056,14,0.792844,0.017739
331,1.750133,13.070913,14057,14,13.070913,1.750133
332,0.099624,1.736826,27014,27,1.736826,0.099624
333,0.359713,4.405273,23015,23,4.405273,0.359713
334,0.146571,6.070133,23014,23,6.070133,0.146571
335,2.850366,12.546354,27018,27,12.546354,2.850366
336,3.988347,10.384115,27019,27,10.384115,3.988347
337,1.323006,9.631486,27015,27,9.631486,1.323006
338,0.571700,12.877656,24002,24,12.877656,0.571700
339,0.733860,9.919131,25001,25,9.919131,0.733860
340,2.128705,8.459360,27021,27,8.459360,2.128705
341,0.057398,1.462657,27023,27,1.462657,0.057398
342,1.728953,8.155780,28001,28,8.155780,1.728953
343,0.254616,5.851892,24003,24,5.851892,0.254616
344,0.504964,4.287210,27013,27,4.287210,0.504964
345,0.233098,3.662264,23016,23,3.662264,0.233098
346,2.001135,10.675756,27024,27,10.675756,2.001135
347,0.294511,8.565606,14058,14,8.565606,0.294511
348,0.564047,7.751597,27017,27,7.751597,0.564047
349,0.064167,1.782209,14059,14,1.782209,0.064167
350,0.213341,5.142600,27025,27,5.142600,0.213341
351,0.062551,1.279924,25002,25,1.279924,0.062551
352,1.535529,14.794390,4009,4,14.794390,1.535529
353,0.031461,1.368587,4010,4,1.368587,0.031461
354,0.218559,5.294562,14060,14,5.294562,0.218559
355,0.549594,4.705096,28002,28,4.705096,0.549594
356,0.126866,2.062889,24004,24,2.062889,0.126866
357,0.146897,3.042310,24005,24,3.042310,0.146897
358,0.097964,5.485419,14061,14,5.485419,0.097964
359,0.178199,4.959197,4011,4,4.959197,0.178199
360,0.045706,1.748546,25003,25,1.748546,0.045706
361,0.106770,2.792071,27028,27,2.792071,0.106770
362,0.171073,3.614181,28003,28,3.614181,0.171073
363,0.620673,7.375329,28005,28,7.375329,0.620673
364,0.148582,4.485516,24006,24,4.485516,0.148582
365,0.281682,3.270519,27026,27,3.270519,0.281682
366,0.622777,5.572090,27029,27,5.572090,0.622777
367,2.401866,17.606577,28004,28,17.606577,2.401866
368,0.057299,2.410605,14062,14,2.410605,0.057299
369,2.033427,9.995963,31001,31,9.995963,2.033427
370,0.653554,3.236195,32002,32,3.236195,0.653554
371,0.538927,5.805516,31002,31,5.805516,0.538927
372,1.322254,12.509953,34003,34,12.509953,1.322254
373,0.086068,1.556482,34006,34,1.556482,0.086068
374,0.173006,2.178241,34007,34,2.178241,0.173006
375,0.475519,4.425182,14063,14,4.425182,0.475519
376,0.362084,10.324879,34001,34,10.324879,0.362084
377,0.508335,3.812432,27027,27,3.812432,0.508335
378,1.775515,6.890021,32001,32,6.890021,1.775515
379,0.252779,4.904841,4013,4,4.904841,0.252779
380,0.030084,1.811464,14064,14,1.811464,0.030084
381,0.050689,2.503484,14065,14,2.503484,0.050689
382,2.209177,13.215835,29005,29,13.215835,2.209177
383,0.209731,2.018858,29001,29,2.018858,0.209731
384,0.163504,2.184340,29002,29,2.184340,0.163504
385,0.102931,2.344478,24007,24,2.344478,0.102931
386,0.210511,3.327233,14066,14,3.327233,0.210511
387,0.020443,1.256633,34004,34,1.256633,0.020443
388,0.218923,6.722964,34005,34,6.722964,0.218923
389,0.660271,6.045697,34010,34,6.045697,0.660271
390,0.631777,11.399449,34009,34,11.399449,0.631777
391,0.134988,4.388301,34002,34,4.388301,0.134988
392,3.941249,17.926084,4012,4,17.926084,3.941249
393,0.180475,2.117155,28008,28,2.117155,0.180475
394,0.996509,14.973384,34008,34,14.973384,0.996509
395,0.313260,6.054832,14067,14,6.054832,0.313260
396,0.163888,2.548790,28006,28,2.548790,0.163888
397,0.573902,3.636259,29003,29,3.636259,0.573902
398,0.329779,3.200970,34013,34,3.200970,0.329779
399,0.029604,0.925029,34012,34,0.925029,0.029604
400,1.154723,8.209462,34015,34,8.209462,1.154723
401,0.568015,4.630485,30001,30,4.630485,0.568015
402,1.068156,6.175177,29004,29,6.175177,1.068156
403,0.057689,2.180750,34011,34,2.180750,0.057689
404,0.081396,2.642594,34014,34,2.642594,0.081396
405,0.755928,10.091748,34018,34,10.091748,0.755928
406,0.044152,1.059091,31003,31,1.059091,0.044152
407,0.306282,3.587954,34019,34,3.587954,0.306282
408,0.027507,1.540390,28013,28,1.540390,0.027507
409,0.030140,0.864245,31004,31,0.864245,0.030140
410,0.031440,0.948306,34016,34,0.948306,0.031440
411,2.823465,14.100411,29006,29,14.100411,2.823465
412,0.025268,1.139890,34017,34,1.139890,0.025268
413,0.007953,0.463660,34020,34,0.463660,0.007953
414,0.013128,0.661998,29007,29,0.661998,0.013128
415,0.174450,2.554392,14068,14,2.554392,0.174450
416,1.688369,8.363827,32003,32,8.363827,1.688369
417,0.036874,0.817905,31005,31,0.817905,0.036874
418,0.022314,0.791902,34022,34,0.791902,0.022314
419,0.268237,3.808425,34023,34,3.808425,0.268237
420,0.050035,1.259475,29008,29,1.259475,0.050035
421,0.094552,1.504306,34024,34,1.504306,0.094552
422,0.841349,10.891249,30002,30,10.891249,0.841349
423,0.056899,1.409624,30004,30,1.409624,0.056899
424,0.186831,4.199579,30005,30,4.199579,0.186831
425,0.237120,4.196468,31006,31,4.196468,0.237120
426,0.304927,4.589059,30006,30,4.589059,0.304927
427,1.815566,8.672130,28007,28,8.672130,1.815566
428,0.145666,3.231157,32004,32,3.231157,0.145666
429,0.059440,2.014262,34027,34,2.014262,0.059440
430,2.015605,6.164938,29011,29,6.164938,2.015605
431,1.366255,9.155940,34026,34,9.155940,1.366255
432,0.138077,2.425884,30009,30,2.425884,0.138077
433,0.019733,0.865318,28010,28,0.865318,0.019733
434,0.076581,3.111051,30003,30,3.111051,0.076581
435,0.025372,0.907533,28009,28,0.907533,0.025372
436,0.021425,0.798029,34028,34,0.798029,0.021425
437,0.056500,1.671983,34029,34,1.671983,0.056500
438,0.728468,4.225346,34025,34,4.225346,0.728468
439,0.623714,6.096026,34021,34,6.096026,0.623714
440,0.345854,3.856345,34030,34,3.856345,0.345854
441,0.049771,2.124914,34031,34,2.124914,0.049771
442,0.166480,4.483411,34033,34,4.483411,0.166480
443,0.043227,1.528217,34034,34,1.528217,0.043227
444,0.013006,0.660762,29009,29,0.660762,0.013006
445,0.080811,2.536896,30008,30,2.536896,0.080811
446,0.011624,0.723295,28011,28,0.723295,0.011624
447,0.048182,1.249857,31007,31,1.249857,0.048182
448,0.188866,2.810249,32005,32,2.810249,0.188866
449,0.279692,4.003277,34036,34,4.003277,0.279692
450,2.324901,12.780196,30015,30,12.780196,2.324901
451,0.845714,7.102482,34032,34,7.102482,0.845714
452,0.135725,3.347598,32006,32,3.347598,0.135725
453,0.024446,0.802449,31008,31,0.802449,0.024446
454,0.015242,0.663369,29010,29,0.663369,0.015242
455,1.116037,5.629072,31009,31,5.629072,1.116037
456,0.053420,2.456317,34037,34,2.456317,0.053420
457,0.048788,1.640688,34038,34,1.640688,0.048788
458,0.014187,0.499838,31010,31,0.499838,0.014187
459,0.153399,2.399124,35001,35,2.399124,0.153399
460,0.716645,4.769591,34039,34,4.769591,0.716645
461,0.522872,6.242705,30010,30,6.242705,0.522872
462,0.117313,2.741075,34042,34,2.741075,0.117313
463,0.727082,4.070761,32009,32,4.070761,0.727082
464,0.023364,1.609141,28012,28,1.609141,0.023364
465,0.016190,0.821464,31011,31,0.821464,0.016190
466,0.165993,4.699636,30007,30,4.699636,0.165993
467,0.093484,2.685910,30013,30,2.685910,0.093484
468,0.401979,3.497226,34040,34,3.497226,0.401979
469,1.056081,19.038421,35002,35,19.038421,1.056081
470,0.017474,0.556348,31012,31,0.556348,0.017474
471,0.032845,1.048458,31014,31,1.048458,0.032845
472,0.040047,1.028839,34043,34,1.028839,0.040047
473,0.389333,3.273824,32008,32,3.273824,0.389333
474,0.023173,0.814728,34041,34,0.814728,0.023173
475,0.073899,4.224937,35003,35,4.224937,0.073899
476,1.500875,8.080180,35004,35,8.080180,1.500875
477,0.248045,3.135841,31013,31,3.135841,0.248045
478,0.471239,5.008193,34044,34,5.008193,0.471239
479,0.084755,2.304901,32012,32,2.304901,0.084755
480,0.224347,4.861079,34035,34,4.861079,0.224347
481,0.090546,2.820662,29012,29,2.820662,0.090546
482,0.168599,3.443881,35005,35,3.443881,0.168599
483,0.468189,9.387055,32014,32,9.387055,0.468189
484,1.720939,9.270474,30011,30,9.270474,1.720939
485,0.394525,4.148172,32017,32,4.148172,0.394525
486,0.222643,2.967912,30012,30,2.967912,0.222643
487,0.270191,4.914117,35006,35,4.914117,0.270191
488,0.228843,5.224775,32015,32,5.224775,0.228843
489,0.020374,1.051039,35007,35,1.051039,0.020374
490,0.211494,1.959437,4015,4,1.959437,0.211494
491,0.330907,3.398716,31015,31,3.398716,0.330907
492,1.359975,14.472516,30021,30,14.472516,1.359975
493,0.240303,2.974552,30016,30,2.974552,0.240303
494,3.113771,12.236610,28014,28,12.236610,3.113771
495,0.007127,0.621302,35008,35,0.621302,0.007127
496,1.306711,10.093179,4014,4,10.093179,1.306711
497,0.032690,0.990478,34045,34,0.990478,0.032690
498,0.091560,1.256046,30014,30,1.256046,0.091560
499,0.371967,2.640783,31017,31,2.640783,0.371967
500,0.089638,1.608831,31018,31,1.608831,0.089638
501,0.118600,1.654646,30020,30,1.654646,0.118600
502,0.750817,5.874409,31019,31,5.874409,0.750817
503,0.323101,5.817039,32022,32,5.817039,0.323101
504,0.284537,3.661624,31016,31,3.661624,0.284537
505,0.131302,2.011997,29013,29,2.011997,0.131302
506,0.162054,1.803730,30017,30,1.803730,0.162054
507,0.089377,1.678093,29015,29,1.678093,0.089377
508,0.247601,3.637526,32026,32,3.637526,0.247601
509,0.799609,8.482722,36001,36,8.482722,0.799609
510,0.700529,4.598278,36002,36,4.598278,0.700529
511,0.218789,3.786976,36003,36,3.786976,0.218789
512,0.027752,1.019829,28015,28,1.019829,0.027752
513,2.106918,9.692492,30019,30,9.692492,2.106918
514,0.455139,5.395748,32024,32,5.395748,0.455139
