"OBJECTID","POLY_ID","LAND_AREA","WATER_AREA","FRESH_AREA","OCEAN_AREA","TOTAL_AREA"
77,4016,53005,139723,0,139723,192728
78,4017,1336664,241819,1114,240705,1578483
79,4018,14794,72013,0,72013,86807
80,4019,41742,405973,4356,401617,447715
81,4020,14437,7923,72,7851,22360
82,4021,6223,66,66,0,6289
83,4022,4670,243,243,0,4913
84,4023,21434,337615,30,337585,359049
85,4024,4333,1336,0,1336,5669
86,4025,3696,575,0,575,4271
87,4026,2962,65,65,0,3027
88,4027,16483,107413,0,107413,123896
89,5001,5587,94968,0,94968,100555
90,5002,72394,98786,2013,96773,171180
91,5003,106264,214805,5202,209603,321069
92,5004,644075,1766,234,1532,645841
93,5005,111056,197695,12607,185088,308751
94,5006,19280,20107,720,19387,39387
95,5007,26605,28294,2409,25885,54899
96,5008,31302,268,268,0,31570
97,5009,389235,2222,2222,0,391457
98,5010,75870,78438,1432,77006,154308
99,5011,4431,4495,0,4495,8926
100,5012,85970,115756,193,115563,201726
101,5013,545,4016,0,4016,4561
102,5014,102022,7044,0,7044,109066
103,5015,17406,100641,532,100109,118047
104,5016,18677,5639,682,4957,24316
105,5017,35575,5684,5632,52,41259
106,5018,59702,42,42,0,59744
107,5019,6043,17353,0,17353,23396
108,5020,14024,9402,0,9402,23426
109,5021,93367,5353,1576,3777,98720
110,5022,1377,4500,0,4500,5877
111,5023,74083,30652,1682,28970,104735
112,5024,27494,15468,219,15249,42962
113,5025,21207,10536,63,10473,31743
114,5026,17342,0,0,0,17342
115,5027,13778,0,0,0,13778
116,5028,128878,21651,1637,20014,150529
117,5029,22532,11,11,0,22543
118,5030,29292,6700,1314,5386,35992
119,5031,23041,7346,195,7151,30387
120,5032,3004,0,0,0,3004
121,5033,129112,14,14,0,129126
122,5034,49989,21707,174,21533,71696
123,5035,166956,25420,2705,22715,192376
124,5036,99138,23732,2806,20926,122870
125,5037,14839,3044,187,2857,17883
126,5038,6659,578,183,395,7237
127,5039,7424,56,56,0,7480
128,5040,5837,2852,320,2532,8689
129,5041,122145,6611,4176,2435,128756
130,5042,8877,5853,0,5853,14730
131,5043,3302,3717,0,3717,7019
132,5044,6082,3580,190,3390,9662
133,5045,23812,0,0,0,23812
134,5046,105956,38580,0,38580,144536
135,5047,27835,0,0,0,27835
136,5048,17970,8131,201,7930,26101
137,5049,46016,0,0,0,46016
138,5050,30073,10004,1921,8083,40077
139,5051,115050,16315,287,16028,131365
140,5052,6716,2418,66,2352,9134
141,5053,156635,15587,594,14993,172222
142,5054,44394,16238,524,15714,60632
143,5055,6108,481,0,481,6589
144,5056,22376,4862,674,4188,27238
145,5057,68691,15912,1268,14644,84603
146,5058,14607,0,0,0,14607
147,5059,27492,25277,0,25277,52769
148,5060,76558,11494,1271,10223,88052
149,5061,36297,4179,0,4179,40476
150,5062,35794,49,49,0,35843
151,6001,58173,662843,830,662013,721016
152,6002,8176,18071,0,18071,26247
153,6003,10047,17778,160,17618,27825
154,6004,4844,37355,0,37355,42199
155,6005,30784,29637,756,28881,60421
156,6006,3266,11169,0,11169,14435
157,6007,36466,9636,535,9101,46102
158,6008,8741,29229,0,29229,37970
159,6009,147748,74945,942,74003,222693
160,6010,14239,20928,123,20805,35167
161,6011,29019,26256,1288,24968,55275
162,6012,5260,3935,0,3935,9195
163,6013,4075,12982,0,12982,17057
164,6014,7927,5549,42,5507,13476
165,6015,3138,6285,0,6285,9423
166,6016,3330,7535,0,7535,10865
167,6017,1019,3128,0,3128,4147
168,6018,2394,6854,0,6854,9248
169,6019,306589,51843,3517,48326,358432
170,6020,23323,8853,126,8727,32176
171,6021,87773,20184,1220,18964,107957
172,6022,12500,11604,0,11604,24104
173,6023,97276,114982,1223,113759,212258
174,6024,16190,53754,0,53754,69944
175,6025,3267,18713,0,18713,21980
176,6026,119108,48254,1164,47090,167362
177,6027,11713,20927,0,20927,32640
178,6028,8749,21125,0,21125,29874
179,6029,36409,167,167,0,36576
180,6030,6411,0,0,0,6411
181,6031,19355,14501,77,14424,33856
182,6032,13563,0,0,0,13563
183,6033,27119,10316,969,9347,37435
184,6034,1931,2921,0,2921,4852
185,6035,5087,4215,0,4215,9302
186,6036,13148,6009,54,5955,19157
187,6037,29198,10465,259,10206,39663
188,6038,3123,3209,0,3209,6332
189,6039,76023,51770,998,50772,127793
190,7001,1043128,100187,48926,51261,1143315
191,7002,5217,0,0,0,5217
192,7003,4868,0,0,0,4868
193,7004,6477,383,383,0,6860
194,7005,23165,4861,197,4664,28026
195,7006,22745,2,2,0,22747
196,7007,6615,0,0,0,6615
197,7008,5171,29,29,0,5200
198,7009,33469,223,223,0,33692
199,8001,71347,2588,0,2588,73935
200,8002,468695,541,541,0,469236
201,8003,160895,8101,284,7817,168996
202,8004,286709,2148,2148,0,288857
203,8005,88742,19228,436,18792,107970
204,8006,314357,757,757,0,315114
205,8007,267957,22984,6162,16822,290941
206,8008,307389,2933,2933,0,310322
207,8009,53327,2939,1456,1483,56266
208,8010,6096,241,0,241,6337
209,8011,230303,151098,2531,148567,381401
210,8012,4959,5609,0,5609,10568
211,8013,15651,96,96,0,15747
212,8014,69809,455,455,0,70264
