"OBJECTID","CMP_ID","CFRAG1","CFRAG2","DEPTH","RESTR_TYPE","AWHC"
105,24406001,"A","A","5","-","4"
106,24406002,"A","A","5","-","4"
107,24406101,"A","A","5","BN","4"
108,24406102,"A","A","5","-","5"
109,24406103,"A","A","5","-","5"
110,24406201,"A","A","5","-","5"
111,24406202,"A","A","5","-","5"
112,24406203,"A","A","5","-","3"
113,24406204,"A","A","5","-","5"
114,24406301,"A","A","5","-","5"
115,24406302,"A","A","5","-","5"
116,24406303,"A","A","5","-","5"
117,24406304,"A","A","5","-","5"
118,24406401,"A","A","5","SA","5"
119,24406402,"A","A","5","-","5"
120,24406403,"A","A","5","-","5"
121,24406404,"A","A","5","-","5"
122,24406501,"A","A","5","-","5"
123,24406502,"A","A","5","-","5"
124,24406503,"A","A","5","-","3"
125,24406504,"A","A","5","-","5"
126,24406601,"A","A","5","SA","5"
127,24406602,"B","A","5","-","5"
128,24406603,"A","A","5","-","5"
129,24406701,"A","A","5","-","5"
130,24406702,"A","A","5","-","5"
131,24406703,"A","A","5","-","5"
132,24406704,"A","A","5","-","5"
133,24406801,"A","A","5","-","5"
134,24406802,"A","A","5","-","3"
135,24406803,"A","A","5","-","5"
136,24406804,"A","A","5","-","5"
137,24406901,"A","A","5","-","4"
138,24406902,"A","A","5","-","5"
139,24407001,"A","A","5","SA","5"
140,24407002,"B","A","5","-","5"
141,24407003,"A","A","5","-","5"
142,24407004,"A","A","5","-","5"
143,24500101,"B","B","5","-","4"
144,24500102,"A","A","5","-","5"
145,24500103,"A","A","5","-","5"
146,24500104,"A","A","5","-","5"
147,24500201,"B","B","5","-","4"
148,24500202,"A","A","5","-","5"
149,24500203,"A","A","5","-","5"
150,24500204,"A","A","5","-","5"
151,24500301,"B","B","5","-","4"
152,24500302,"A","A","5","-","5"
153,24500303,"A","A","5","-","5"
154,24500304,"A","A","5","-","5"
155,24500401,"A","A","5","-","5"
156,24500402,"A","A","5","-","5"
157,24500403,"B","B","5","-","4"
158,24500404,"A","A","5","-","5"
159,24500501,"A","A","5","-","5"
160,24500502,"A","A","5","-","5"
161,24500503,"B","B","5","-","4"
162,24500504,"A","A","5","-","5"
163,24500601,"B","B","5","-","4"
164,24500602,"A","A","5","-","5"
165,24500603,"A","A","5","-","5"
166,24500604,"A","A","5","-","5"
167,24900601,"-","-","5","-","5"
168,24900602,"A","A","5","-","4"
169,24900603,"A","A","5","-","5"
170,24900604,"A","A","5","-","4"
171,25000201,"A","A","5","-","4"
172,25000202,"A","A","5","-","5"
173,25000203,"A","A","5","-","5"
174,25000401,"A","A","5","-","4"
175,25000402,"B","B","5","-","5"
176,25000403,"A","A","5","-","5"
177,25100201,"-","-","5","-","5"
178,25100202,"A","A","5","-","4"
179,25100203,"A","A","5","-","5"
180,25100301,"-","-","5","-","5"
181,25100302,"A","A","5","-","4"
182,25100303,"A","A","5","-","4"
183,25100304,"A","A","5","-","5"
184,25100401,"-","-","5","-","5"
185,25100402,"A","A","5","-","4"
186,25100403,"A","A","5","-","5"
187,25100404,"A","A","5","-","4"
188,25100501,"A","A","5","-","4"
189,25100502,"B","B","5","-","5"
190,25100503,"A","A","5","-","5"
191,25100701,"A","A","5","-","4"
192,25100702,"-","-","5","-","5"
193,25100703,"A","A","5","-","4"
194,25100704,"A","A","5","-","5"
195,25100801,"A","A","5","-","4"
196,25100802,"-","-","5","-","5"
197,25100803,"A","A","5","-","4"
198,25100804,"A","A","5","-","5"
199,25100901,"A","A","5","-","4"
200,25100902,"B","B","5","-","5"
201,25100903,"A","A","5","-","5"
202,25101001,"A","A","5","-","4"
203,25101002,"-","-","5","-","5"
204,25101003,"A","A","5","-","4"
205,25101004,"A","A","5","-","5"
206,25101101,"A","A","5","-","4"
207,25101102,"B","B","5","-","5"
208,25101103,"A","A","5","-","5"
209,25101201,"A","A","5","-","4"
210,25101202,"-","-","5","-","5"
211,25101203,"A","A","5","-","4"
212,25101204,"A","A","5","-","5"
213,25101301,"-","-","5","-","5"
214,25101302,"A","A","5","-","4"
215,25101303,"A","A","5","-","5"
216,25101304,"A","A","5","-","4"
217,25300101,"A","A","5","-","4"
218,25300102,"A","A","5","-","5"
219,25300103,"B","B","5","-","5"
220,25300201,"B","B","5","-","4"
221,25300202,"B","B","5","-","5"
222,25300301,"A","A","5","-","4"
223,25300302,"A","B","5","-","5"
224,25300303,"A","A","5","-","5"
225,25300401,"A","A","5","-","4"
226,25300402,"A","A","5","BN","4"
227,25300403,"A","A","5","-","5"
228,25300404,"A","A","5","-","5"
229,25300501,"A","A","5","-","4"
230,25300502,"A","B","5","-","5"
231,25300601,"A","A","5","-","5"
232,25300602,"A","A","5","-","4"
233,25300603,"A","A","5","-","5"
234,25300604,"B","B","5","-","5"
235,25300701,"A","A","5","-","4"
236,25300702,"A","A","5","-","5"
237,25300703,"A","A","5","-","5"
238,25400101,"A","A","5","-","4"
239,25400102,"-","-","5","-","5"
240,25400103,"A","A","5","-","4"
241,25400104,"A","A","5","-","5"
242,25400201,"-","-","5","-","5"
243,25400202,"A","A","5","-","4"
244,25400203,"A","A","5","-","5"
245,25400204,"A","A","5","-","4"
246,25400301,"A","A","5","-","4"
247,25400302,"-","-","5","-","5"
248,25400303,"A","A","5","-","4"
249,25400304,"A","A","5","-","5"
250,25400401,"-","-","5","-","5"
251,25400402,"A","A","5","-","5"
252,25400403,"A","A","5","-","4"
253,26300701,"-","-","-","LI","-"
254,26300702,"A","A","5","-","1"
255,26300703,"A","A","5","-","5"
256,26300801,"-","-","-","LI","-"
257,26300802,"A","A","5","-","1"
258,26300803,"A","A","5","-","5"
259,26300901,"A","A","5","-","1"
260,26300902,"A","A","5","-","5"
261,26300903,"-","-","-","LI","-"
262,26302301,"A","A","5","-","1"
263,26302302,"A","A","5","-","5"
264,26302303,"A","A","5","-","4"
265,26302601,"A","A","5","-","4"
266,26302602,"-","-","-","LI","-"
267,26302603,"A","A","5","-","5"
268,26302604,"A","A","5","-","5"
269,33100501,"A","A","5","-","5"
270,33100502,"A","A","5","-","5"
271,33100503,"A","A","5","-","1"
272,33100504,"A","A","5","-","4"
273,33101601,"A","A","5","-","3"
274,33101602,"A","A","5","-","4"
275,33101603,"A","A","5","-","5"
276,33102101,"C","C","5","-","2"
277,33102102,"A","A","5","-","4"
278,33102103,"A","A","5","-","5"
279,33102104,"A","A","5","-","5"
280,33800401,"C","C","5","-","2"
281,33800402,"A","A","5","-","4"
282,33800403,"A","A","5","-","3"
283,33800404,"A","A","5","-","5"
284,37500101,"A","B","5","-","3"
285,37500102,"A","A","5","-","1"
286,37500103,"A","A","5","-","1"
287,37500104,"A","A","5","-","1"
288,37500105,"A","A","5","-","4"
289,37500106,"A","A","5","-","5"
290,37500107,"A","A","5","-","4"
291,37500108,"A","A","5","-","5"
292,37500109,"A","A","5","-","5"
293,37500201,"A","A","5","-","5"
294,37500202,"A","B","5","-","3"
295,37500203,"A","A","5","-","5"
296,37500204,"A","A","5","-","5"
297,37500205,"A","A","5","-","5"
298,37500206,"A","A","5","-","5"
299,37500207,"A","B","5","-","3"
300,37500208,"A","A","5","-","5"
301,37500209,"A","A","5","-","3"
302,37500210,"A","A","5","-","1"
303,37500301,"A","A","5","-","5"
304,37500302,"A","A","5","-","5"
305,37500303,"A","A","5","-","5"
306,37500304,"A","A","5","-","5"
307,37500305,"A","A","5","-","5"
308,37500306,"A","A","5","-","5"
309,37500401,"A","A","5","-","5"
310,37500402,"A","A","5","-","5"
311,37500403,"A","A","5","-","5"
312,37500404,"A","A","5","-","5"
313,37500405,"A","A","5","-","5"
314,37500406,"A","A","5","-","5"
315,37500407,"A","A","5","-","5"
316,37500501,"A","A","5","-","5"
317,37500502,"B","B","5","-","5"
318,37500503,"A","A","5","-","5"
319,37500504,"A","A","5","-","5"
320,37500505,"A","B","5","-","4"
321,37500506,"A","B","5","-","3"
322,37500507,"-","-","-","-","-"
323,37500508,"A","A","5","-","4"
324,37500509,"A","A","5","-","5"
325,37500510,"A","A","5","-","5"
326,37500601,"A","A","5","-","5"
327,37500602,"A","A","5","-","4"
328,37500603,"A","A","5","-","5"
329,37500604,"A","A","5","-","5"
330,37500605,"A","A","5","-","5"
331,37500606,"A","A","5","-","5"
332,37500607,"A","A","5","-","5"
333,37500701,"A","A","5","-","5"
334,37500702,"A","A","5","-","5"
335,37500703,"A","A","5","-","5"
336,37500704,"A","A","5","-","5"
337,37500705,"A","A","5","-","5"
338,37500706,"A","A","5","-","5"
339,37500707,"A","A","5","-","5"
340,37500708,"A","A","5","-","5"
341,37500801,"A","B","5","-","3"
342,37500802,"A","A","5","-","1"
343,37500803,"A","A","5","-","1"
344,37500804,"A","A","5","-","5"
345,37500805,"A","A","5","-","4"
346,37500806,"A","A","5","-","5"
347,37500807,"A","A","5","-","1"
348,37500808,"A","A","5","-","4"
349,37500901,"A","A","5","-","5"
350,37500902,"A","A","5","-","5"
351,37500903,"A","A","5","-","5"
352,37500904,"A","A","5","-","5"
353,37500905,"A","A","5","-","5"
354,37500906,"A","A","5","-","5"
355,37501001,"A","A","5","-","5"
356,37501002,"A","A","5","-","5"
357,37501003,"A","A","5","-","5"
358,37501004,"A","A","5","-","5"
359,37501005,"A","A","5","-","5"
360,37501006,"A","A","5","-","5"
361,37501007,"A","A","5","-","5"
362,37501008,"A","A","5","-","5"
363,37501101,"A","A","5","-","5"
364,37501102,"A","A","5","-","5"
365,37501103,"A","A","5","-","5"
366,37501104,"A","A","5","-","5"
367,37501105,"A","A","5","-","5"
368,37501106,"A","A","5","-","5"
369,37501107,"A","A","5","-","4"
370,37501108,"A","A","5","-","1"
371,37501201,"A","A","5","-","1"
372,37501202,"A","A","5","-","1"
373,37501203,"A","B","5","-","3"
374,37501204,"A","A","5","-","3"
375,37501205,"A","A","5","-","3"
376,37501206,"A","A","5","-","5"
377,37501207,"A","A","5","-","5"
378,37501301,"A","A","5","-","4"
379,37501302,"A","A","5","-","5"
380,37501303,"A","A","5","-","5"
381,37501304,"B","B","5","-","2"
382,37501305,"A","A","5","-","1"
383,37501306,"C","C","5","-","4"
384,37501307,"A","A","5","-","1"
385,37501308,"A","A","5","-","5"
386,37501401,"A","A","5","-","5"
387,37501402,"A","A","5","-","5"
388,37501403,"A","A","5","-","5"
389,37501404,"A","A","5","-","5"
390,37501405,"A","A","5","-","5"
391,37501406,"A","A","5","-","5"
392,37501407,"A","A","5","-","1"
393,37501408,"B","B","5","-","5"
394,37600101,"-","-","-","-","-"
395,37600102,"A","A","5","-","5"
396,37600103,"A","A","5","-","5"
397,37600104,"A","A","5","-","5"
398,37600105,"B","B","3","LI","3"
399,37600201,"-","-","-","-","-"
400,37600202,"A","A","5","-","5"
401,37600203,"A","A","5","-","5"
402,37600204,"B","B","3","LI","3"
403,37600205,"A","A","4","LI","5"
404,37600206,"A","A","5","-","5"
405,37600207,"A","A","5","-","5"
406,37600208,"A","A","5","-","5"
407,37600301,"-","-","-","-","-"
408,37600302,"A","A","5","-","5"
409,37600303,"A","A","5","-","5"
410,37600304,"B","B","3","LI","3"
