"OBJECTID","LF_ID","POLY_ID","LF_TYPE","LF_SLOPE","LF_EXTENT"
126,"1007010UB",1007010,"U","B",30
127,"1007011SF",1007011,"S","F",85
128,"1007011UB",1007011,"U","B",15
129,"1007012ID",1007012,"I","D",20
130,"1007012MC",1007012,"M","C",25
131,"1007012TA",1007012,"T","A",55
132,"1007013MC",1007013,"M","C",20
133,"1007013UB",1007013,"U","B",80
134,"1007014MD",1007014,"M","D",40
135,"1007014UB",1007014,"U","B",60
136,"1007015LA",1007015,"L","A",100
137,"1007016IB",1007016,"I","B",40
138,"1007016ID",1007016,"I","D",30
139,"1007016IE",1007016,"I","E",30
140,"1007017IE",1007017,"I","E",100
141,"1007018MD",1007018,"M","D",30
142,"1007018SF",1007018,"S","F",70
143,"1007019MD",1007019,"M","D",40
144,"1007019SF",1007019,"S","F",60
145,"1007020IC",1007020,"I","C",15
146,"1007020IE",1007020,"I","E",40
147,"1007020TA",1007020,"T","A",45
148,"1007021IE",1007021,"I","E",50
149,"1007021MD",1007021,"M","D",20
150,"1007021TA",1007021,"T","A",30
151,"1007022IE",1007022,"I","E",50
152,"1007022MD",1007022,"M","D",50
153,"1008001MD",1008001,"M","D",60
154,"1008001SF",1008001,"S","F",40
155,"1008003ID",1008003,"I","D",60
156,"1008003SF",1008003,"S","F",40
157,"1008004LA",1008004,"L","A",85
158,"1008004SF",1008004,"S","F",15
159,"1008005IB",1008005,"I","B",55
160,"1008005MD",1008005,"M","D",30
161,"1008005UA",1008005,"U","A",15
162,"1008006ID",1008006,"I","D",70
163,"1008006SF",1008006,"S","F",30
164,"1008008MD",1008008,"M","D",35
165,"1008008UB",1008008,"U","B",65
166,"1008009IE",1008009,"I","E",45
167,"1008009MD",1008009,"M","D",55
168,"1008011ID",1008011,"I","D",50
169,"1008011SF",1008011,"S","F",50
170,"1008014IE",1008014,"I","E",40
171,"1008014MD",1008014,"M","D",60
172,"1008016IE",1008016,"I","E",55
173,"1008016MD",1008016,"M","D",45
174,"1008019IE",1008019,"I","E",60
175,"1008019MD",1008019,"M","D",40
176,"1008020IE",1008020,"I","E",70
177,"1008020MD",1008020,"M","D",30
178,"1008021HD",1008021,"H","D",40
179,"1008021SF",1008021,"S","F",60
180,"1008022SF",1008022,"S","F",25
181,"1008022TA",1008022,"T","A",75
182,"1009007IE",1009007,"I","E",100
183,"1009008RD",1009008,"R","D",100
184,"1009011MD",1009011,"M","D",20
185,"1009011SF",1009011,"S","F",80
186,"1009013IC",1009013,"I","C",30
187,"1009013TA",1009013,"T","A",70
188,"1009014MD",1009014,"M","D",30
189,"1009014SF",1009014,"S","F",70
190,"1009017IE",1009017,"I","E",70
191,"1009017RD",1009017,"R","D",30
192,"1009018IC",1009018,"I","C",40
193,"1009018TA",1009018,"T","A",60
194,"1010001ID",1010001,"I","D",40
195,"1010001IE",1010001,"I","E",60
196,"1010002IE",1010002,"I","E",20
197,"1010002TA",1010002,"T","A",80
198,"1010003MD",1010003,"M","D",40
